package_name,is_obsolete
com.scg.vwell,1
com.sony.promobile.wsm,1
que.gam.ch,1
zeusnorway.app,1
com.reflekt.remote.hitachi.remoteassist,1
com.tvremote.remoterok.insignia,1
com.trainerize.theproteam,1
com.autocop.MasGps,1
com.dc.smarthome,1
josemunoz.osciloscopiobluetooth,1
com.liiit,1
com.trainerize.foxphysiqueltd,1
com.chocolate.godefocus,1
com.vitalityactive.tawVitality,1
com.amazfittrexproguide.app25665918956,1
com.w.screen_f,1
com.irainxun.davey,1
com.deltranusa.deltran_connected,1
org.netTalk.setup,1
com.securityApp.IYZIL,1
com.Elite.mall,1
com.trainerize.flex7,1
com.cornford.games.pipepower,1
com.cga.user,1
com.broilking,1
com.watchfacestudio.nbc_cs01,1
com.ibm.capture.app,1
ca.farrelltonsolar.classic,1
com.bestmile.mobile.driver.android.v2,1
com.dripp.drippuser,1
com.trainerize.thefort,1
bass.volume.booster.free,1
cz.skodaauto.connectlite,1
com.juhui.iotandroid,1
com.sharefilesapp.Xsandersharefile,1
com.utilitech.luxmeter.lightmeter,1
com.lftovrs.android,1
com.trysolstice.mobile,1
bassbooster.volumebooster.equalizer,1
com.hdvideoprojector.hdvideoprojectorsimulator.tools.livehdvideoprojector.videoprojectorapp.mobileprojector,1
uk.co.evavenue.cp.app,1
com.gjung.haifa3d,1
com.luminus.nus.edu.sg,1
in.qikcircle.housekeeping,1
com.sykora.neonalarm.free,1
intellibrush.dentissa.intellibrush,1
com.funkyedevpro.pedometerstephealthtrackerpro,1
com.mobeasyapp.app694467866902,1
com.appwarestudio.clockforlockscreen.clockwallpaper.amoleddisplay.analogdigitalclock,1
com.robosen.QTZapp,1
com.xplora.xplorao2o,1
com.elitevine.monitorassist,1
com.cdl.mobile.cdlmobile_and,1
shotkam.sis.com.shotkam,1
bloodpressureapp.bloodpressuretracker.heartratemonitor,1
com.swifthome.smartlife,1
com.drivemode.android,1
com.company.ahmetunal.arizatespit,1
com.rstudioz.habits,1
